,Pers.No.,department,Gender Key,Marital Status Key,No.ch,Age of employee,age_class,Certificate
838,AASAICJR,CM,Female,Marr.,1,38,30~40,Master
839,AASAIEAE,CC,Male,Marr.,0,31,30~40,Bachelor
840,AASAIREL,PA,Male,Marr.,1,34,30~40,Bachelor
841,AASAIRRU,PA,Female,Marr.,1,36,30~40,Bachelor
842,AASAIRIS,PA,Male,Marr.,1,35,30~40,Bachelor
843,AASAIRUR,AE,Female,Marr.,2,37,30~40,Bachelor
844,AASAUILL,CM,Male,Marr.,1,36,30~40,College
845,AASALCUI,CC,Male,Marr.,0,29,25~30,Bachelor
846,AASALCJC,AE,Male,Marr.,0,29,25~30,
847,AASALRRS,AE,Male,Marr.,2,37,30~40,Bachelor
848,AASALRIE,AE,Female,Marr.,2,37,30~40,Bachelor
849,AASALIRJ,CC,Male,Marr.,1,36,30~40,Master
850,AASALIIQ,AE,Female,Marr.,1,35,30~40,Bachelor
851,AASALLLC,AE,Male,Marr.,2,37,30~40,Bachelor
852,AASAQURU,CM,Female,Marr.,1,29,25~30,
853,AASAQAUL,CM,Male,Marr.,1,33,30~40,Master
854,AASAQAQI,CP,Male,Marr.,1,35,30~40,Bachelor
855,AASAQJAE,CC,Male,Marr.,1,35,30~40,Master
856,AASAAESR,CM,Male,Marr.,2,34,30~40,Bachelor
857,AASAAEAQ,AE,Male,Marr.,2,34,30~40,Bachelor
858,AASAAUAA,CM,Male,Marr.,1,35,30~40,Bachelor
859,AASAALES,AE,Male,Marr.,1,35,30~40,Master
860,AASAALRR,AE,Male,Marr.,2,34,30~40,College
861,AASAAQEE,CM,Female,Single,0,32,30~40,Bachelor
862,AASAAQRC,AE,Female,Marr.,1,40,40~50,Bachelor
863,AASAAQSJ,CI,Male,Marr.,0,37,30~40,Bachelor
864,AASAJEAL,AE,Female,Single,0,29,25~30,Bachelor
865,AASAJSRA,CC,Male,Single,0,32,30~40,Bachelor
866,AASAJSQS,AE,Female,Marr.,1,42,40~50,Master
867,AASAJIJJ,AE,Female,Single,0,29,25~30,
868,AASJCCLQ,AE,Female,Marr.,2,36,30~40,Bachelor
869,AASJCCJI,AE,Male,Marr.,1,32,30~40,Bachelor
870,AASJCEIQ,CP,Female,Marr.,2,39,30~40,Bachelor
871,AASJCEUL,AE,Female,Marr.,2,38,30~40,Bachelor
872,AASJCSSI,PA,Male,Marr.,1,35,30~40,Master
873,AASJEQLE,CP,Female,Marr.,1,44,40~50,College
874,AASJEQQC,CP,Male,Marr.,1,35,30~40,Bachelor
875,AASJRCQI,AE,Male,Marr.,0,29,25~30,
876,AASJRCAS,AE,Female,Single,0,29,25~30,Bachelor
877,AASJRUAR,AE,Male,Marr.,1,36,30~40,Bachelor
878,AASJRLRL,AE,Male,Marr.,1,34,30~40,Bachelor
879,AASJRQEU,AE,Female,Marr.,2,37,30~40,College
880,AASJRAQQ,PA,Male,Single,0,26,25~30,Bachelor
881,AASJRAJU,CM,Male,Marr.,1,35,30~40,College
882,AASJSJRJ,PA,Male,Marr.,1,36,30~40,College
883,AASJIIQI,AE,Male,Marr.,1,35,30~40,Bachelor
884,AASJUULE,AE,Male,Single,0,30,30~40,
885,AASJULSR,AE,Male,Marr.,2,36,30~40,Bachelor
886,AASJULAQ,AE,Male,Marr.,0,31,30~40,Bachelor
887,AASJUJCJ,AE,Male,Marr.,1,40,40~50,Master
888,AASJQCIR,CC,Female,Marr.,2,37,30~40,Master
889,AASJQCUE,CP,Male,Marr.,1,41,40~50,Bachelor
890,AASJQRUQ,AE,Male,Marr.,0,37,30~40,Bachelor
891,AASJQRLL,AE,Male,Marr.,0,33,30~40,Bachelor
892,AASJQSRA,CC,Female,Single,0,33,30~40,Bachelor
893,AASJQICA,CP,Male,Marr.,1,34,30~40,Bachelor
894,AASJQISU,RBAC,Female,Marr.,1,37,30~40,
895,AASJQLCS,AED,Male,Marr.,1,38,30~40,Bachelor
896,AASJACCU,RBAC,Male,Marr.,1,29,25~30,Bachelor
897,AAICECRA,AE,Male,Marr.,1,34,30~40,College
898,AAIRIISR,RBAC,Male,Marr.,1,50,>=50,Bachelor
899,AAISJAJC,CM,Male,Marr.,1,35,30~40,Bachelor
900,AAIIERQE,CC,Male,Marr.,1,35,30~40,Bachelor
901,AAIIRJRC,CC,Male,Single,0,33,30~40,
902,AAIIRJSJ,AE,Male,Marr.,0,28,25~30,
903,AAIISEEQ,CM,Female,Marr.,1,32,30~40,Bachelor
904,AAIISESU,CP,Male,Marr.,2,32,30~40,College
905,AAIISRSS,CM,Male,Marr.,1,42,40~50,Bachelor
906,AAIIIERU,CC,Female,Marr.,1,32,30~40,
907,AAIIIASJ,CP,Female,Marr.,1,37,30~40,Bachelor
908,AAIIUEEU,AE,Male,Single,0,34,30~40,Bachelor
909,AAIIUESS,CC,Male,Marr.,1,36,30~40,Bachelor
910,AAIIUIIL,AE,Male,Marr.,1,36,30~40,Bachelor
911,AAIIULCU,CC,Female,Single,0,30,30~40,
912,AAIIULLJ,CC,Male,Single,0,35,30~40,Master
913,AAIULQEA,CC,Male,Marr.,1,36,30~40,Master
914,AAIULAEL,CC,Male,Marr.,0,30,30~40,Bachelor
915,AAIUQCRE,CP,Female,Single,0,36,30~40,Bachelor
916,AAIUAUQI,CM,Male,Marr.,1,36,30~40,Bachelor
917,AAIUAUJR,CP,Male,Marr.,1,35,30~40,Master
918,AAIUALUI,PA,Female,Marr.,1,29,25~30,
919,AAIUJAIC,AE,Female,Marr.,2,29,25~30,Bachelor
920,AAILCURU,AE,Male,Marr.,0,32,30~40,Master
921,AAILCUAJ,CC,Male,Marr.,0,31,30~40,
922,AAILCLUC,GS,Male,Marr.,1,35,30~40,Bachelor
923,AAILCLLJ,CC,Male,Marr.,1,33,30~40,College
924,AAILCLQA,CC,Male,Marr.,1,35,30~40,College
925,AAILCARJ,GS,Male,Marr.,1,32,30~40,
926,AAILERAU,CC,Male,Single,0,32,30~40,
927,AAILESIQ,PA,Male,Marr.,1,33,30~40,Bachelor
928,AAILEIIU,AE,Male,Marr.,1,41,40~50,Master
929,AAILEILS,CP,Male,Single,0,37,30~40,Master
930,AAILEIQR,AE,Female,Marr.,2,37,30~40,Bachelor
931,AAILRRJS,AE,Female,Marr.,2,35,30~40,Bachelor
932,AAILSCJL,CC,Male,Marr.,1,32,30~40,Bachelor
933,AAILSIAJ,CC,Male,Marr.,0,30,30~40,Bachelor
934,AAILSQAR,CP,Male,Marr.,1,40,40~50,Bachelor
935,AAILIRQS,CM,Male,Single,0,36,30~40,Bachelor
936,AAILUCCS,PA,Male,Marr.,1,40,40~50,Bachelor
937,AAILUSEL,AE,Female,Marr.,1,29,25~30,
938,AAILLUUL,AE,Male,Marr.,2,39,30~40,Bachelor
939,AAILLQIS,CC,Male,Marr.,1,43,40~50,Bachelor
940,AAILQUJE,CM,Male,Marr.,1,32,30~40,Bachelor
941,AAILQQUE,AE,Male,Marr.,1,30,30~40,
942,AAILQASE,CM,Male,Marr.,1,39,30~40,Bachelor
943,AAILARRI,CC,Male,Single,0,32,30~40,
944,AAILAUUI,CC,Male,Marr.,1,37,30~40,Bachelor
945,AAILALCQ,CM,Male,Marr.,1,35,30~40,Bachelor
946,AAILAQRS,AE,Male,Marr.,1,39,30~40,Bachelor
947,AAILAAIJ,AE,Male,Marr.,2,39,30~40,College
948,AAILAAJI,CP,Female,Marr.,1,35,30~40,College
949,AAIQCRUQ,BBSD,Male,Marr.,1,30,30~40,Bachelor
950,AAIQCQAS,CM,Female,Marr.,2,32,30~40,Bachelor
951,AAIQERIQ,AE,Male,Marr.,1,32,30~40,Bachelor
952,AAIQERQI,CC,Male,Marr.,1,36,30~40,Bachelor
953,AAIQESCJ,CC,Male,Single,0,28,25~30,Master
954,AAIQEIIS,CC,Male,Single,0,33,30~40,Master
955,AAIQEIAJ,AE,Female,Marr.,1,34,30~40,College
956,AAIQEIJA,CC,Female,Marr.,2,43,40~50,Bachelor
957,AAIQEURR,AE,Male,Marr.,2,37,30~40,Bachelor
958,AAIQEUUJ,AE,Male,Marr.,1,35,30~40,Bachelor
959,AAIQELUQ,CM,Male,Marr.,1,34,30~40,Bachelor
960,AAIQEJQJ,AE,Male,Marr.,1,30,30~40,Bachelor
961,AAIQREJS,CM,Male,Marr.,1,36,30~40,Bachelor
962,AAIQRRRA,AA,Male,Marr.,1,38,30~40,College
963,AAIQRRLI,RBAC,Male,Marr.,1,38,30~40,Bachelor
964,AAIQRRQS,AE,Male,Marr.,1,33,30~40,Bachelor
965,AAIQRISS,RBAC,Female,Marr.,2,37,30~40,Bachelor
966,AAIQRUCS,AED,Male,Marr.,1,36,30~40,Bachelor
967,AAIQRUUA,AE,Female,Marr.,1,38,30~40,Bachelor
968,AAIQRUJI,AE,Male,Marr.,1,32,30~40,Bachelor
969,AAIQRLCE,PA,Male,Single,0,30,30~40,
970,AAIQRLRJ,AE,Female,Marr.,1,29,25~30,
971,AAIQUREL,AE,Female,Marr.,1,29,25~30,
972,AAIQQSLQ,AE,Female,Marr.,1,31,30~40,
973,AAIQQIEC,RBAC,Female,Marr.,0,28,25~30,
974,AAIQQIRJ,AE,Male,Single,0,31,30~40,
975,AAIQQIJR,BBSD,Male,Marr.,1,40,40~50,Bachelor
976,AAIQQUCA,BBSD,Female,Marr.,1,42,40~50,Master
977,AAIQQUEQ,BBSD,Female,Single,0,35,30~40,Bachelor
978,AAIQQURL,CM,Male,Marr.,1,36,30~40,Master
979,AAIQQUII,AE,Male,Marr.,1,33,30~40,
980,AAIQQUUS,AE,Male,Marr.,1,33,30~40,
981,AAIQACEQ,AE,Male,Marr.,1,41,40~50,Bachelor
982,AAIQARUJ,AE,Male,Marr.,0,37,30~40,Bachelor
983,AAIQASCR,CC,Male,Single,0,31,30~40,Master
984,AAIQJIUI,CC,Female,Marr.,0,29,25~30,
985,AAIACESJ,AE,Female,Marr.,1,29,25~30,
986,AAIACEUQ,AE,Female,Single,2,33,30~40,
987,AAIACEAI,CM,Female,Marr.,1,35,30~40,Bachelor
988,AAIACRRA,CM,Male,Marr.,1,35,30~40,Bachelor
989,AAIACRIL,CC,Female,Marr.,0,37,30~40,Master
990,AAIACRUU,AE,Female,Marr.,1,31,30~40,
991,AAIACSEQ,CC,Male,Marr.,0,35,30~40,Bachelor
992,AAIACSQE,AE,Male,Marr.,0,32,30~40,
993,AAIARCEE,AE,Male,Marr.,1,33,30~40,Bachelor
994,AAIARCAI,CM,Male,Marr.,1,31,30~40,
995,AAIASRIS,RBAC,Female,Marr.,0,29,25~30,
996,AAIASSUC,AE,Female,Single,0,29,25~30,Bachelor
997,AAIASQEU,CC,Male,Marr.,1,37,30~40,Bachelor
998,AAIAIEEQ,AE,Male,Single,0,29,25~30,
999,AAIAUEAJ,CP,Male,Marr.,1,33,30~40,Bachelor
1000,AAIALULE,CC,Female,Marr.,0,32,30~40,Master
1001,AAIALQQL,AED,Female,Marr.,1,44,40~50,Bachelor
1002,AAIAQLES,PA,Female,Marr.,0,30,30~40,
1003,AAIAQLIC,AE,Male,Marr.,2,36,30~40,Bachelor
1004,AAIAQLUJ,AE,Male,Marr.,0,31,30~40,Bachelor
1005,AAIAAEAL,AE,Male,Marr.,1,32,30~40,Bachelor
1006,AAIAAQCE,CC,Male,Marr.,0,32,30~40,
1007,AAIAAQIQ,CM,Male,Single,0,45,40~50,Master
1008,AAIAAQUL,GS,Female,Marr.,2,37,30~40,Bachelor
1009,AAIAAQAS,AE,Male,Marr.,2,40,40~50,College
1010,AAIAAAUI,CM,Female,Marr.,2,36,30~40,Bachelor
1011,AAIJSCCJ,CC,Female,Single,0,31,30~40,Master
1012,AAIJSCEA,AE,Male,Marr.,0,32,30~40,Bachelor
1013,AAIJSCRQ,AE,Female,Marr.,2,35,30~40,Bachelor
1014,AAIJSAAI,BBSD,Male,Single,0,36,30~40,Master
1015,AAIJSJEJ,AE,Female,Marr.,1,35,30~40,Bachelor
1016,AAIJSJRA,GS,Male,Marr.,0,31,30~40,Master
1017,AAIJIISQ,AE,Female,Single,0,31,30~40,
1018,AAIJIULE,CP,Male,Marr.,2,36,30~40,Bachelor
1019,AAIJIJRQ,CM,Male,Marr.,2,36,30~40,Master
1020,AAIJUESR,CC,Male,Marr.,1,36,30~40,Bachelor
1021,AAIJULAL,AE,Male,Marr.,1,34,30~40,College
1022,AAIJUJUS,CC,Female,Marr.,1,38,30~40,Bachelor
1023,AAIJUJQE,CM,Male,Marr.,1,38,30~40,Bachelor
1024,AAIJQRJR,AE,Female,Single,0,28,25~30,Bachelor
1025,AAIJQIQC,AE,Female,Marr.,1,32,30~40,Master
1026,AAIJASII,CM,Female,Marr.,1,36,30~40,Bachelor
1027,AAIJASLR,AE,Female,Marr.,1,35,30~40,Bachelor
1028,AAIJASJJ,AE,Male,Marr.,2,37,30~40,Bachelor
1029,AAIJJCLQ,CP,Male,Marr.,1,39,30~40,Bachelor
1030,AAIJJELU,AE,Male,Marr.,1,35,30~40,Bachelor
1031,AAIJJEQI,CM,Female,Marr.,0,32,30~40,Bachelor
1032,AAUCELQJ,PA,Female,Marr.,2,34,30~40,Bachelor
1033,AAUCEQQQ,AE,Male,Marr.,1,32,30~40,
1034,AAUCEJIL,AE,Female,Marr.,1,31,30~40,
1035,AAUCRCSU,CC,Male,Marr.,1,37,30~40,Master
1036,AAUCRSSJ,AE,Female,Marr.,1,35,30~40,Bachelor
1037,AAUCRIJE,AE,Male,Marr.,1,30,30~40,College
1038,AAUCRUSI,CM,Male,Marr.,1,37,30~40,Bachelor
1039,AAUCRUQC,AE,Male,Marr.,0,34,30~40,Bachelor
1040,AAUCRUJA,CC,Male,Marr.,1,32,30~40,Master
1041,AAUCRLRS,AE,Female,Marr.,1,32,30~40,Vocational School
1042,AAUCIERR,CC,Male,Marr.,1,34,30~40,Bachelor
1043,AAUCIEUJ,PA,Male,Marr.,1,34,30~40,
1044,AAUCIELA,CC,Male,Marr.,1,32,30~40,
1045,AAUCUACA,CM,Male,Marr.,1,31,30~40,Master
1046,AAUCLEQU,AE,Male,Marr.,2,30,30~40,Bachelor
1047,AAUCLEJS,AE,Male,Marr.,2,32,30~40,College
1048,AAUCLRRA,AE,Male,Marr.,1,35,30~40,Bachelor
1049,AAUCQELU,AE,Female,Marr.,1,33,30~40,Bachelor
1050,AAUCQUEE,CC,Male,Marr.,1,33,30~40,Master
1051,AAUCQUSJ,RBAC,Male,Marr.,1,36,30~40,Bachelor
1052,AAUCQUUQ,AE,Male,Marr.,1,40,40~50,College
1053,AAUCQUQU,AED,Male,Marr.,1,38,30~40,College
1054,AAUCJUIL,AE,Female,Marr.,1,32,30~40,Bachelor
1055,AAUECQCS,GS,Male,Marr.,1,38,30~40,Bachelor
1056,AAUECQIJ,AE,Male,Marr.,1,31,30~40,College
1057,AAUERESE,AE,Male,Marr.,1,35,30~40,Bachelor
1058,AAUERRJS,AED,Male,Marr.,1,36,30~40,Bachelor
1059,AAUERSAR,AE,Male,Marr.,1,31,30~40,Master
1060,AAUESQJE,CP,Male,Marr.,1,37,30~40,Bachelor
1061,AAUEUUUQ,AE,Male,Single,0,38,30~40,Bachelor
1062,AAUEUULL,AE,Female,Marr.,2,36,30~40,Bachelor
1063,AAUEUUQU,AE,Male,Marr.,1,31,30~40,Bachelor
1064,AAUEUUAI,CP,Female,Marr.,0,35,30~40,Bachelor
1065,AAUEUQRL,CM,Male,Marr.,0,34,30~40,Bachelor
1066,AAUEQUEJ,CM,Male,Marr.,2,38,30~40,Master
1067,AAUEQUQS,CP,Female,Single,0,40,40~50,Master
1068,AAUEQJJS,BBSD,Male,Marr.,1,35,30~40,Bachelor
1069,AAUEAILL,AE,Male,Single,0,36,30~40,Master
1070,AAUEJQCI,AE,Female,Marr.,1,31,30~40,Bachelor
1071,AAURRELL,CC,Male,Marr.,1,43,40~50,Bachelor
1072,AAURRUER,AE,Female,Marr.,1,28,25~30,
1073,AAURRJEI,AE,Male,Marr.,1,35,30~40,Bachelor
1074,AAURSQQE,AE,Male,Marr.,2,35,30~40,Bachelor
1075,AAURIISE,AE,Female,Single,0,28,25~30,Bachelor
1076,AAURUEIU,AE,Female,Marr.,1,41,40~50,College
1077,AAURUELS,CM,Male,Marr.,1,35,30~40,Bachelor
1078,AAURUEQR,CM,Male,Marr.,1,36,30~40,Master
1079,AAURUREL,AE,Male,Marr.,1,36,30~40,College
1080,AAURURSI,CM,Male,Marr.,1,32,30~40,
1081,AAURURLE,CP,Male,Marr.,1,39,30~40,Bachelor
1082,AAURURQC,AE,Female,Marr.,1,33,30~40,College
1083,AAURLESU,AE,Male,Marr.,1,30,30~40,Master
1084,AAURLEAC,AE,Male,Marr.,1,29,25~30,Technical School
1085,AAURLIJS,CC,Female,Marr.,1,34,30~40,Bachelor
1086,AAURLLCQ,AE,Female,Marr.,0,35,30~40,Master
1087,AAURLQQA,AE,Male,Marr.,2,36,30~40,Bachelor
1088,AAURLJEC,AE,Male,Marr.,1,36,30~40,College
1089,AAURLJIQ,RBAC,Male,Marr.,1,35,30~40,Bachelor
1090,AAURJRIJ,CM,Male,Marr.,1,41,40~50,Bachelor
1091,AAURJLSE,CC,Male,Marr.,1,37,30~40,Master
1092,AAUSCECR,AE,Male,Marr.,1,39,30~40,Bachelor
1093,AAUSCESJ,AE,Male,Marr.,2,35,30~40,Bachelor
1094,AAUSCEQU,AE,Male,Marr.,1,32,30~40,Bachelor
1095,AAUSCRSQ,CC,Male,Single,0,32,30~40,Bachelor
1096,AAUSCRQS,AE,Male,Marr.,1,36,30~40,College
1097,AAUSCIIR,AE,Male,Marr.,1,35,30~40,Bachelor
1098,AAUSECCS,AE,Male,Marr.,0,37,30~40,Master
1099,AAUSEESA,AE,Male,Marr.,1,37,30~40,Bachelor
1100,AAUSEEIQ,AE,Male,Marr.,0,35,30~40,Bachelor
1101,AAUSEJUJ,CC,Female,Single,0,25,25~30,Master
1102,AAUSRCEE,AE,Male,Marr.,0,36,30~40,Bachelor
1103,AAUSRCRC,CC,Male,Single,0,34,30~40,Bachelor
1104,AAUSRCIA,CM,Male,Marr.,0,34,30~40,Doctor
1105,AAUSSSRS,AE,Female,Marr.,1,31,30~40,
1106,AAUSSSJL,AE,Female,Marr.,1,32,30~40,Bachelor
1107,AAUSSIAU,AE,Female,Single,0,31,30~40,College
1108,AAUSSIJI,AE,Male,Marr.,1,32,30~40,Bachelor
1109,AAUSSUUU,AE,Male,Single,0,39,30~40,Master
1110,AAUSIQLJ,CC,Female,Marr.,0,33,30~40,Bachelor
1111,AAUSUEUR,CC,Female,Single,0,32,30~40,Bachelor
1112,AAUSUAJS,CM,Male,Marr.,0,40,40~50,Diploma
1113,AAUSUJEJ,CI,Male,Marr.,2,37,30~40,Bachelor
1114,AAUSLSLL,BBSD,Male,Marr.,0,32,30~40,Bachelor
1115,AAUSLSJS,CM,Female,Single,0,32,30~40,Master
1116,AAUSLUQC,CP,Male,Marr.,1,33,30~40,Bachelor
1117,AAUSLQLQ,CM,Female,Single,0,37,30~40,Bachelor
1118,AAUSQEJL,CC,Female,Marr.,1,28,25~30,Bachelor
1119,AAUSQLJU,CC,Male,Single,0,29,25~30,Bachelor
1120,AAUSQQJS,BBSD,Male,Single,0,29,25~30,Bachelor
1121,AAUSARSJ,AE,Male,Marr.,1,35,30~40,Bachelor
1122,AAUSAAQR,PA,Male,Marr.,1,37,30~40,Bachelor
1123,AAUSJCAQ,AE,Female,Marr.,2,28,25~30,
1124,AAUSJUJU,CC,Male,Marr.,1,36,30~40,Bachelor
1125,AAUSJLEE,AE,Male,Marr.,1,32,30~40,Bachelor
1126,AAUSJLJS,CC,Male,Marr.,1,33,30~40,College
1127,AAUSJQJE,GS,Male,Marr.,1,32,30~40,Master
1128,AAUIEEAE,AE,Male,Marr.,0,30,30~40,Bachelor
1129,AAUIEQCL,CM,Male,Marr.,2,39,30~40,Bachelor
1130,AAUIEQRI,CM,Male,Marr.,0,37,30~40,Master
1131,AAUIEJAI,AE,Male,Marr.,0,31,30~40,
1132,AAUISCSL,AE,Female,Marr.,0,30,30~40,
1133,AAUIICSU,AE,Female,Marr.,1,30,30~40,Bachelor
1134,AAUIICLR,AE,Female,Single,0,28,25~30,
1135,AAUIIECL,CP,Female,Marr.,1,30,30~40,Master
1136,AAUIIEQJ,AE,Male,Single,0,31,30~40,
1137,AAUIQUCI,AE,Female,Marr.,2,37,30~40,Bachelor
1138,AAUIQUQQ,AE,Male,Marr.,1,31,30~40,
1139,AAUIQQJE,AE,Male,Marr.,2,33,30~40,Bachelor
1140,AAUIQARL,AE,Female,Marr.,0,30,30~40,Master
1141,AAUIQAQE,CC,Female,Marr.,2,35,30~40,Bachelor
1142,AAUIARCC,CC,Male,Marr.,1,36,30~40,College
1143,AAUIARQS,CM,Male,Marr.,1,36,30~40,Bachelor
1144,AAUIARAR,CM,Male,Marr.,1,37,30~40,Bachelor
1145,AAUIASII,AE,Female,Marr.,1,42,40~50,Master
1146,AAUIAILC,CC,Male,Marr.,0,31,30~40,Master
1147,AAUUCCUI,AE,Female,Marr.,1,30,30~40,Bachelor
1148,AAUUREJL,CC,Female,Marr.,1,37,30~40,College
1149,AAUURRJI,CC,Male,Marr.,1,37,30~40,Bachelor
1150,AAUURIUI,PA,Female,Marr.,1,33,30~40,Bachelor
1151,AAUURAIL,RBAC,Male,Marr.,1,40,40~50,Master
1152,AAUURALI,AE,Female,Marr.,1,35,30~40,Bachelor
1153,AAUUSAIU,AE,Female,Marr.,2,27,25~30,Bachelor
1154,AAUUSJAJ,PT,Female,Marr.,1,34,30~40,Bachelor
1155,AAUUICJL,CC,Male,Marr.,0,29,25~30,Bachelor
1156,AAUUUUAU,AED,Female,Marr.,1,37,30~40,Bachelor
1157,AAUUUUJI,CC,Female,Marr.,1,40,40~50,Master
1158,AAUULEUL,AE,Female,Marr.,1,39,30~40,Bachelor
1159,AAUUQCLL,AE,Male,Single,0,30,30~40,Vocational School
1160,AAUUQECC,CP,Female,Marr.,0,30,30~40,Bachelor
1161,AAUUACLU,AE,Female,Marr.,1,38,30~40,Master
1162,AAUUACQI,CC,Male,Marr.,1,38,30~40,Bachelor
1163,AAUUAEUI,AE,Male,Single,0,36,30~40,Master
1164,AAUUJEUS,AE,Female,Marr.,2,33,30~40,Bachelor
1165,AAULCRAU,CM,Female,Single,0,33,30~40,Bachelor
1166,AAULCASQ,AE,Male,Marr.,2,38,30~40,Bachelor
1167,AAULCAUU,CC,Male,Marr.,1,37,30~40,Bachelor
1168,AAULELAU,AE,Female,Single,0,29,25~30,
1169,AAULRSIU,AA,Male,Single,0,32,30~40,College
1170,AAULRURR,AE,Female,Marr.,1,30,30~40,College
1171,AAULSEIA,AE,Female,Marr.,1,32,30~40,Master
1172,AAULSELL,CC,Male,Marr.,1,35,30~40,Bachelor
1173,AAULSEQU,CC,Male,Marr.,1,38,30~40,Bachelor
1174,AAULIRAE,CC,Male,Marr.,0,30,30~40,Bachelor
1175,AAULISEL,AE,Female,Marr.,1,33,30~40,College
1176,AAULISSI,CP,Male,Marr.,2,34,30~40,Bachelor
1177,AAULISIS,AE,Male,Marr.,0,30,30~40,Master
1178,AAULISQC,CP,Male,Marr.,1,32,30~40,Bachelor
1179,AAULIIUC,AE,Male,Marr.,1,36,30~40,College
1180,AAULLJSJ,AE,Female,Single,0,36,30~40,Bachelor
1181,AAULQUQR,AE,Male,Marr.,1,37,30~40,College
1182,AAULAAUQ,CC,Male,Marr.,0,33,30~40,Bachelor
1183,AAULJAEC,AE,Male,Marr.,1,33,30~40,Bachelor
1184,AAUQEREJ,BBSD,Female,Single,0,28,25~30,
1185,AAUQESQE,AE,Female,Marr.,1,38,30~40,College
1186,AAUQQSUQ,RBAC,Female,Marr.,0,36,30~40,Bachelor
1187,AAUQQACE,AE,Male,Marr.,0,28,25~30,
1188,AAUQARRE,CM,Female,Marr.,1,29,25~30,
1189,AAUQARIJ,RBAC,Female,Marr.,1,37,30~40,Bachelor
1190,AAUQAQSJ,AED,Male,Marr.,1,36,30~40,Bachelor
1191,AAUAEASR,CP,Male,Single,0,28,25~30,
1192,AAUAEJQL,CC,Female,Marr.,1,39,30~40,Bachelor
1193,AAUARCCE,AE,Female,Marr.,1,35,30~40,Bachelor
1194,AAUASCJE,AE,Female,Marr.,1,30,30~40,
1195,AAUASQQA,AE,Female,Marr.,1,29,25~30,
1196,AAUASQAQ,CM,Female,Single,0,29,25~30,
1197,AAUASJJR,AE,Female,Single,0,34,30~40,Bachelor
1198,AAUAICCJ,AE,Male,Marr.,0,36,30~40,Doctor
1199,AAUALURI,CC,Male,Marr.,1,31,30~40,Bachelor
1200,AAUAQJEL,AE,Male,Marr.,1,33,30~40,Master
1201,AAUAARCE,CC,Male,Marr.,1,35,30~40,Master
1202,AAUAARJR,CC,Female,Single,0,34,30~40,Master
1203,AAUJCQJQ,CM,Male,Marr.,1,27,25~30,
1204,AAUJCJQU,AE,Male,Marr.,0,32,30~40,Bachelor
1205,AAUJSSQU,AE,Female,Marr.,0,28,25~30,Bachelor
1206,AAUJSUSI,CC,Female,Marr.,1,37,30~40,College
1207,AAUJSUQC,AE,Female,Marr.,1,36,30~40,Master
1208,AAUJLECS,BBSD,Female,Marr.,1,37,30~40,Bachelor
1209,AAUJLEER,GS,Male,Marr.,2,38,30~40,Master
1210,AAUJQRQS,RBAC,Male,Single,0,28,25~30,Bachelor
1211,AALCCCUI,PT,Female,Single,0,40,40~50,Bachelor
1212,AALCCAAI,CC,Male,Marr.,0,32,30~40,
1213,AALCSRRC,AE,Female,Single,0,36,30~40,Master
1214,AALCSRAI,AE,Male,Single,0,31,30~40,Master
1215,AALELRIS,BBSD,Male,Marr.,1,28,25~30,
1216,AALEAUUS,RBAC,Male,Single,0,28,25~30,Bachelor
1217,AALEJISQ,AE,Male,Marr.,1,37,30~40,Bachelor
1218,AALRUQRS,AE,Male,Marr.,1,38,30~40,College
1219,AALRAEIE,AE,Male,Marr.,0,30,30~40,
1220,AALSSICR,CC,Male,Marr.,0,28,25~30,
1221,AALSSQIE,AE,Female,Marr.,1,34,30~40,Bachelor
1222,AALSSQAQ,RBAC,Male,Marr.,1,32,30~40,Bachelor
1223,AALSUQUA,AE,Male,Marr.,0,34,30~40,Bachelor
1224,AALSQQIQ,AE,Male,Single,0,28,25~30,
1225,AALSAUJU,AE,Male,Marr.,1,37,30~40,Master
1226,AALSJUER,RBAC,Female,Marr.,1,37,30~40,Bachelor
1227,AALSJUUA,CC,Female,Marr.,0,27,25~30,
1228,AALSJASI,AE,Male,Marr.,2,37,30~40,Bachelor
1229,AALISSQU,AE,Female,Marr.,1,38,30~40,Bachelor
1230,AALISSAI,AE,Female,Marr.,1,36,30~40,Bachelor
1231,AALISUSI,RBAC,Female,Marr.,0,26,25~30,
1232,AALISULE,AE,Female,Marr.,1,38,30~40,Bachelor
1233,AALISUJA,AE,Male,Marr.,1,31,30~40,College
1234,AALISJQR,CC,Male,Marr.,1,36,30~40,Vocational School
1235,AALIUQQI,AE,Male,Marr.,1,35,30~40,Master
1236,AALILLJS,RBAC,Female,Marr.,0,28,25~30,
1237,AALIJILA,AE,Female,Marr.,1,45,40~50,College
1238,AALIJIQQ,CM,Male,Marr.,1,34,30~40,Bachelor
1239,AALIJUCE,AE,Male,Marr.,1,39,30~40,Bachelor
1240,AALUCEJQ,AE,Male,Marr.,1,34,30~40,Bachelor
1241,AALUCSSJ,AE,Male,Marr.,1,38,30~40,College
1242,AALUCSIA,AE,Male,Marr.,1,32,30~40,Bachelor
1243,AALUCLAQ,AE,Male,Marr.,2,33,30~40,Master
1244,AALUCLJL,CC,Female,Single,0,30,30~40,
1245,AALUEIUI,AE,Male,Marr.,1,37,30~40,Diploma
1246,AALURULJ,AE,Male,Marr.,0,32,30~40,Master
